Date,Real,Predict
05/07,68,68
06/07,107,107
07/07,105,105
08/07,52,52
09/07,93,93
10/07,69,69
11/07,65,65
12/07,49,49
13/07,14,14
14/07,28,120
15/07,44,27
16/07,62,42
17/07,57,60
18/07,53,55
19/07,99,51
20/07,57,97
21/07,52,56
22/07,64,52
23/07,112,64
24/07,95,112
25/07,193,95
26/07,37,192
27/07,221,37
28/07,307,221
29/07,92,307
30/07,161,93
31/07,236,163
01/08,274,237
02/08,366,272
03/08,63,360
04/08,53,62
05/08,58,53
06/08,154,58
07/08,243,153
08/08,433,241
09/08,264,429
10/08,153,261
11/08,230,151
12/08,139,227
13/08,180,137
14/08,178,178
15/08,242,177
16/08,68,241
17/08,178,68
18/08,232,175
19/08,165,229
20/08,302,163
21/08,178,299
22/08,154,177
23/08,290,154
24/08,239,289
25/08,185,237
26/08,118,184
27/08,235,117
28/08,308,234
29/08,298,305
30/08,182,294
31/08,36,182
01/09,507,38
02/09,431,503
03/09,364,424
04/09,375,359
05/09,34,369
06/09,188,58
07/09,444,59
08/09,341,61
09/09,244,64
10/09,,65
11/09,,64
12/09,,63
13/09,,63
14/09,,62
15/09,,60
16/09,,58
