Date,Real,Predict
02/07,0,0
03/07,0,0
04/07,0,0
05/07,0,0
06/07,1,1
07/07,2,2
08/07,3,3
09/07,3,3
10/07,3,3
11/07,3,3
12/07,4,3
13/07,5,4
14/07,5,5
15/07,5,5
16/07,10,5
17/07,11,10
18/07,11,11
19/07,12,11
20/07,15,13
21/07,20,16
22/07,22,21
23/07,25,23
24/07,36,26
25/07,42,37
26/07,50,43
27/07,57,51
28/07,61,58
29/07,66,62
30/07,76,68
31/07,97,78
01/08,105,99
02/08,120,107
03/08,154,122
04/08,178,156
05/08,188,180
06/08,192,190
07/08,198,194
08/08,200,200
09/08,204,202
10/08,207,206
11/08,213,209
12/08,220,215
13/08,226,222
14/08,233,228
15/08,238,235
16/08,243,240
17/08,250,245
18/08,255,252
19/08,261,257
20/08,265,263
21/08,272,267
22/08,278,274
23/08,286,280
24/08,293,288
25/08,299,295
26/08,308,301
27/08,321,310
28/08,326,323
29/08,343,328
30/08,360,345
31/08,365,362
01/09,372,367
02/09,374,374
03/09,378,377
04/09,383,379
05/09,395,382
06/09,423,385
07/09,428,387
08/09,,390
09/09,,392
10/09,,395
11/09,,397
12/09,,400
13/09,,403
14/09,,405
15/09,,408
16/09,,411
17/09,,414
