Date,Real,Predict
24/06,27,27
25/06,35,35
26/06,36,36
27/06,37,37
28/06,81,81
29/06,121,121
30/06,130,130
01/07,132,132
02/07,136,136
03/07,139,139
04/07,146,225
05/07,152,236
06/07,152,249
07/07,153,249
08/07,184,251
09/07,198,293
10/07,208,313
11/07,216,323
12/07,242,336
13/07,270,373
14/07,301,415
15/07,369,459
16/07,602,539
17/07,777,788
18/07,1063,971
19/07,1352,1260
20/07,1453,1555
21/07,1608,1658
22/07,1896,1821
23/07,2685,2128
24/07,2962,2896
25/07,3320,3169
26/07,4237,3523
27/07,4713,4431
28/07,4907,4898
29/07,4986,5090
30/07,5064,5168
31/07,5099,5337
01/08,5150,5491
02/08,5202,5632
03/08,5271,5760
04/08,,5877
05/08,,5983
06/08,,6079
07/08,,6166
08/08,,6244
09/08,,6314
10/08,,6376
