Date,Real,Predict
24/06,1476,1476
25/06,1653,1653
26/06,1715,1715
27/06,1788,1788
28/06,2121,2121
29/06,2276,2276
30/06,2371,2371
01/07,2382,2382
02/07,2440,2440
03/07,2481,2481
04/07,2587,3064
05/07,2781,3164
06/07,2784,3346
07/07,2803,3349
08/07,3141,3368
09/07,3322,3685
10/07,3341,3855
11/07,3481,3873
12/07,3804,4005
13/07,4235,4308
14/07,4603,4713
15/07,5046,5059
16/07,5832,5475
17/07,6321,6212
18/07,6825,6672
19/07,7454,7145
20/07,7659,7736
21/07,8103,7929
22/07,9072,8348
23/07,9751,9261
24/07,10078,9899
25/07,10545,10038
26/07,11761,10170
27/07,12308,10293
28/07,12563,10409
29/07,,10518
30/07,,10620
31/07,,10716
01/08,,10806
02/08,,10891
03/08,,10971
04/08,,11045
