Date,Real,Predict
29/06,126,126
30/06,99,99
01/07,99,99
02/07,99,99
03/07,35,35
04/07,11,11
05/07,17,17
06/07,16,16
07/07,14,14
08/07,13,13
09/07,21,17
10/07,12,26
11/07,15,16
12/07,28,20
13/07,42,35
14/07,37,54
15/07,42,48
16/07,50,54
17/07,43,65
18/07,37,55
19/07,37,47
20/07,42,47
21/07,37,54
22/07,44,48
23/07,47,56
24/07,54,60
25/07,46,69
26/07,50,59
27/07,52,64
28/07,57,67
29/07,60,73
30/07,68,76
31/07,66,88
01/08,58,84
02/08,49,75
03/08,49,63
04/08,50,63
05/08,50,65
06/08,56,64
07/08,58,72
08/08,54,75
09/08,55,70
10/08,58,70
11/08,56,74
12/08,55,72
13/08,60,71
14/08,62,76
15/08,67,80
16/08,71,86
17/08,78,92
18/08,,100
19/08,,129
20/08,,165
21/08,,212
22/08,,271
23/08,,348
24/08,,446
25/08,,571
26/08,,730
27/08,,933
28/08,,1190
29/08,,1517
