Date,Real,Predict
24/06,2146,2146
25/06,2504,2504
26/06,2679,2679
27/06,2751,2751
28/06,2846,2846
29/06,3080,3080
30/06,3182,3182
01/07,3200,3200
02/07,3241,3241
03/07,3277,3277
04/07,3347,3100
05/07,3593,3167
06/07,3667,3399
07/07,3730,3468
08/07,3838,3528
09/07,4047,3631
10/07,4078,3828
11/07,4316,3858
12/07,4708,4083
13/07,4971,4453
14/07,5167,4701
15/07,5712,4885
16/07,6186,5400
17/07,6512,5848
18/07,6622,6156
19/07,7077,6260
20/07,7197,6690
21/07,7699,6803
22/07,8208,7278
23/07,8133,7759
24/07,8160,7688
25/07,8178,7714
26/07,8212,7733
27/07,8243,7765
28/07,8294,7795
29/07,8323,7844
30/07,8345,7872
31/07,8367,7448
01/08,8410,7049
02/08,8463,6675
03/08,8500,6326
04/08,,6001
05/08,,5699
06/08,,5420
07/08,,5166
08/08,,4936
09/08,,4733
10/08,,4558
