Date,Real,Predict
24/06,38,38
25/06,54,54
26/06,58,58
27/06,59,59
28/06,73,73
29/06,154,154
30/06,165,165
01/07,169,169
02/07,172,172
03/07,175,175
04/07,180,315
05/07,188,323
06/07,192,342
07/07,196,349
08/07,207,356
09/07,224,371
10/07,260,397
11/07,275,433
12/07,309,458
13/07,328,508
14/07,346,539
15/07,446,565
16/07,650,686
17/07,834,904
18/07,984,1096
19/07,1380,1246
20/07,1500,1648
21/07,1775,1769
22/07,1994,2057
23/07,2448,2291
24/07,2620,2725
25/07,2687,2892
26/07,2808,2957
27/07,3111,3075
28/07,3303,3368
29/07,3410,3555
30/07,3632,3660
31/07,3743,3878
01/08,3877,4069
02/08,4053,4233
03/08,4190,4375
04/08,,4495
05/08,,4597
06/08,,4681
07/08,,4750
08/08,,4805
09/08,,4848
10/08,,4879
