Date,Real,Predict
24/06,2,2
25/06,3,3
26/06,3,3
27/06,3,3
28/06,3,3
29/06,3,3
30/06,3,3
01/07,4,4
02/07,5,5
03/07,6,6
04/07,7,157
05/07,9,161
06/07,11,174
07/07,15,179
08/07,21,185
09/07,23,194
10/07,26,205
11/07,29,203
12/07,35,216
13/07,43,239
14/07,48,258
15/07,53,270
16/07,65,298
17/07,75,330
18/07,87,348
19/07,98,352
20/07,112,381
21/07,126,388
22/07,140,417
23/07,164,445
24/07,188,445
25/07,214,706
26/07,236,949
27/07,272,1175
28/07,307,1387
29/07,,1585
30/07,,1772
31/07,,1949
01/08,,2116
02/08,,2274
03/08,,2425
04/08,,2568
