Date,Real,Predict
02/07,127,127
03/07,96,96
04/07,86,86
05/07,73,73
06/07,52,52
07/07,21,21
08/07,13,13
09/07,17,17
10/07,16,16
11/07,18,18
12/07,22,26
13/07,16,31
14/07,17,22
15/07,24,24
16/07,38,33
17/07,36,54
18/07,42,51
19/07,45,59
20/07,45,63
21/07,38,63
22/07,32,53
23/07,37,46
24/07,38,52
25/07,43,54
26/07,45,60
27/07,54,63
28/07,46,75
29/07,48,64
30/07,49,66
31/07,55,67
01/08,57,75
02/08,89,78
03/08,94,122
04/08,105,129
05/08,110,143
06/08,124,151
07/08,104,169
08/08,92,143
09/08,88,128
10/08,92,121
11/08,88,127
12/08,116,122
13/08,147,160
14/08,171,204
15/08,178,238
16/08,206,247
17/08,225,287
18/08,222,312
19/08,225,308
20/08,263,311
21/08,257,364
22/08,229,354
23/08,274,317
24/08,327,378
25/08,301,450
26/08,280,414
27/08,266,385
28/08,222,366
29/08,155,306
30/08,130,213
31/08,140,178
01/09,134,192
02/09,149,184
03/09,,206
04/09,,286
05/09,,399
06/09,,558
07/09,,782
08/09,,1088
09/09,,1487
10/09,,1981
11/09,,2588
12/09,,3325
13/09,,4228
14/09,,5335
