Date,Real,Predict
24/06,20,20
25/06,21,21
26/06,22,22
27/06,25,25
28/06,40,40
29/06,65,65
30/06,82,82
01/07,91,91
02/07,101,101
03/07,114,114
04/07,115,173
05/07,116,174
06/07,124,176
07/07,134,189
08/07,145,205
09/07,153,220
10/07,250,231
11/07,257,327
12/07,265,338
13/07,274,349
14/07,275,363
15/07,277,364
16/07,397,366
17/07,467,492
18/07,546,563
19/07,598,640
20/07,702,692
21/07,796,795
22/07,882,891
23/07,1127,981
24/07,1315,1212
25/07,1453,1392
26/07,1601,1525
27/07,1901,1667
28/07,2111,1953
29/07,2315,2155
30/07,2551,2351
31/07,2840,2576
01/08,2961,2853
02/08,3305,2969
03/08,3456,3297
04/08,3624,3287
05/08,3888,3274
06/08,4089,3258
07/08,4228,3240
08/08,,3220
09/08,,3199
10/08,,3176
11/08,,3152
12/08,,3127
13/08,,3102
14/08,,3076
