Date,Real,Predict
24/06,0,447
25/06,0,600
26/06,0,563
27/06,0,403
28/06,0,293
29/06,1,200
30/06,3,35
01/07,3,124
02/07,3,121
03/07,4,116
04/07,4,125
05/07,4,138
06/07,5,141
07/07,7,44
08/07,9,54
09/07,10,61
10/07,12,56
11/07,13,53
12/07,14,73
13/07,16,66
14/07,16,85
15/07,16,90
16/07,22,102
17/07,24,104
18/07,26,128
19/07,27,142
20/07,31,161
21/07,34,148
22/07,37,160
23/07,43,181
24/07,49,216
25/07,55,241
26/07,61,292
27/07,76,269
28/07,87,248
29/07,98,228
30/07,117,221
31/07,138,189
01/08,147,226
02/08,170,261
03/08,182,282
04/08,199,306
05/08,219,334
06/08,241,366
07/08,,402
08/08,,441
09/08,,484
10/08,,531
11/08,,582
12/08,,638
13/08,,699
