Date,Real,Predict
24/06,698,698
25/06,724,724
26/06,788,788
27/06,959,959
28/06,1062,1062
29/06,1133,1133
30/06,1297,1297
01/07,1339,1339
02/07,1479,1479
03/07,1620,1620
04/07,1630,1516
05/07,1655,1524
06/07,1790,1546
07/07,1959,1668
08/07,2063,1822
09/07,2161,1917
10/07,2243,2006
11/07,2355,2081
12/07,2446,2182
13/07,2570,2265
14/07,2580,2378
15/07,2588,2387
16/07,2868,2393
17/07,2991,2648
18/07,3049,2761
19/07,3110,2814
20/07,3213,2869
21/07,3386,2963
22/07,3588,3121
23/07,3548,3305
24/07,3577,3269
25/07,3613,3296
26/07,3655,3328
27/07,3685,3366
28/07,3741,3393
29/07,3795,3445
30/07,3817,3495
31/07,3874,3515
01/08,3913,3238
02/08,4000,2984
03/08,4042,2751
04/08,4111,2538
05/08,,2344
06/08,,2168
07/08,,2009
08/08,,1865
09/08,,1734
10/08,,1616
11/08,,1510
