Date,Real,Predict
24/06,0,0
25/06,0,0
26/06,0,0
27/06,0,0
28/06,0,0
29/06,1,1
30/06,3,3
01/07,3,3
02/07,3,3
03/07,4,4
04/07,4,4
05/07,4,4
06/07,5,4
07/07,7,5
08/07,9,7
09/07,10,9
10/07,12,10
11/07,13,12
12/07,14,13
13/07,16,14
14/07,16,16
15/07,16,16
16/07,22,16
17/07,24,23
18/07,26,25
19/07,27,27
20/07,31,28
21/07,34,32
22/07,37,35
23/07,43,38
24/07,49,44
25/07,55,50
26/07,61,56
27/07,76,62
28/07,87,77
29/07,98,88
30/07,117,99
31/07,138,118
01/08,147,139
02/08,166,148
03/08,179,167
04/08,199,168
05/08,226,170
06/08,252,172
07/08,267,173
08/08,,175
09/08,,177
10/08,,179
11/08,,181
12/08,,183
13/08,,185
14/08,,187
