Date,Real,Predict
24/06,106,106
25/06,106,106
26/06,106,106
27/06,124,124
28/06,126,126
29/06,221,221
30/06,237,237
01/07,247,247
02/07,254,254
03/07,259,259
04/07,259,339
05/07,262,340
06/07,263,342
07/07,279,343
08/07,282,358
09/07,305,361
10/07,321,382
11/07,330,397
12/07,350,405
13/07,370,424
14/07,374,442
15/07,381,446
16/07,400,452
17/07,425,470
18/07,448,493
19/07,458,514
20/07,465,523
21/07,475,530
22/07,499,540
23/07,511,562
24/07,512,620
25/07,540,673
26/07,540,722
27/07,570,767
28/07,,809
29/07,,848
30/07,,885
31/07,,918
01/08,,949
02/08,,978
03/08,,1004
