Date,Real,Predict
29/06,4,4
30/06,4,4
01/07,4,4
02/07,8,8
03/07,13,13
04/07,19,19
05/07,24,24
06/07,30,30
07/07,30,30
08/07,31,31
09/07,31,52
10/07,31,53
11/07,31,54
12/07,32,54
13/07,34,56
14/07,37,59
15/07,39,62
16/07,42,66
17/07,45,71
18/07,46,74
19/07,48,76
20/07,51,80
21/07,57,84
22/07,64,91
23/07,71,98
24/07,78,106
25/07,84,113
26/07,90,120
27/07,96,127
28/07,105,133
29/07,114,142
30/07,126,151
31/07,139,163
01/08,155,175
02/08,169,191
03/08,185,205
04/08,200,220
05/08,217,235
06/08,230,251
07/08,249,264
08/08,272,283
09/08,292,305
10/08,310,326
11/08,331,344
12/08,349,365
13/08,365,383
14/08,381,422
15/08,401,464
16/08,411,508
17/08,418,552
18/08,,595
19/08,,637
20/08,,676
21/08,,712
22/08,,743
23/08,,763
24/08,,764
