Date,Real,Predict
29/06,8,8
30/06,8,8
01/07,13,13
02/07,14,14
03/07,16,16
04/07,20,20
05/07,28,28
06/07,29,29
07/07,30,30
08/07,30,30
09/07,30,114
10/07,30,115
11/07,48,115
12/07,54,156
13/07,56,170
14/07,57,173
15/07,117,176
16/07,118,236
17/07,121,239
18/07,126,244
19/07,132,255
20/07,145,266
21/07,149,284
22/07,193,288
23/07,236,336
24/07,282,379
25/07,392,426
26/07,398,539
27/07,459,545
28/07,475,614
29/07,677,629
30/07,711,821
31/07,746,854
01/08,782,887
02/08,853,922
03/08,917,990
04/08,1050,1051
05/08,1100,1177
06/08,1196,1225
07/08,1241,1318
08/08,1313,1360
09/08,1393,1430
10/08,1505,1509
11/08,1623,1616
12/08,1797,1732
13/08,1828,1905
14/08,2007,1935
15/08,2011,2106
16/08,2167,2110
17/08,2233,2258
18/08,2353,2321
19/08,2360,2439
20/08,2365,2515
21/08,2581,2583
22/08,2664,2643
23/08,2671,2697
24/08,,2745
25/08,,2787
26/08,,2825
27/08,,2859
28/08,,2889
29/08,,2915
30/08,,2939
