Date,Real,Predict
29/06,70,70
30/06,87,87
01/07,40,40
02/07,24,24
03/07,21,21
04/07,18,18
05/07,1,1
06/07,20,20
07/07,24,24
08/07,25,25
09/07,25,31
10/07,30,31
11/07,11,38
12/07,7,14
13/07,8,9
14/07,9,11
15/07,5,11
16/07,7,6
17/07,5,9
18/07,5,7
19/07,5,6
20/07,7,7
21/07,7,9
22/07,8,9
23/07,8,10
24/07,7,10
25/07,10,8
26/07,8,13
27/07,7,10
28/07,8,9
29/07,9,10
30/07,17,12
31/07,17,21
01/08,19,21
02/08,19,24
03/08,18,23
04/08,5,22
05/08,9,6
06/08,8,12
07/08,26,10
08/08,27,32
09/08,55,34
10/08,51,68
11/08,59,64
12/08,49,73
13/08,60,61
14/08,34,74
15/08,34,42
16/08,41,43
17/08,50,51
18/08,38,63
19/08,,47
20/08,,59
21/08,,74
22/08,,93
23/08,,116
24/08,,144
25/08,,180
26/08,,224
27/08,,278
28/08,,346
29/08,,429
30/08,,531
