Date,Real,Predict
29/06,1,1
30/06,1,1
01/07,1,1
02/07,1,1
03/07,1,1
04/07,1,1
05/07,2,2
06/07,2,2
07/07,2,2
08/07,2,2
09/07,2,46
10/07,2,46
11/07,4,46
12/07,5,60
13/07,5,66
14/07,5,66
15/07,6,67
16/07,6,70
17/07,6,71
18/07,7,72
19/07,7,76
20/07,8,79
21/07,8,83
22/07,9,83
23/07,10,87
24/07,11,90
25/07,15,93
26/07,15,101
27/07,17,102
28/07,17,109
29/07,23,109
30/07,24,116
31/07,25,118
01/08,27,119
02/08,31,121
03/08,34,126
04/08,44,130
05/08,48,140
06/08,55,145
07/08,58,153
08/08,64,156
09/08,74,163
10/08,86,175
11/08,101,188
12/08,119,205
13/08,122,227
14/08,137,231
15/08,138,247
16/08,156,248
17/08,163,267
18/08,176,274
19/08,177,290
20/08,178,291
21/08,202,293
22/08,217,321
23/08,218,340
24/08,233,341
25/08,242,361
26/08,249,373
27/08,258,382
28/08,265,521
29/08,272,665
30/08,276,814
31/08,283,966
01/09,,1120
02/09,,1277
03/09,,1433
04/09,,1588
05/09,,1738
06/09,,1884
07/09,,2022
