Date,Real,Predict
02/07,47,47
03/07,53,53
04/07,53,53
05/07,39,39
06/07,36,36
07/07,26,26
08/07,12,12
09/07,16,16
10/07,14,14
11/07,13,13
12/07,13,16
13/07,11,16
14/07,3,13
15/07,3,3
16/07,5,3
17/07,5,6
18/07,5,6
19/07,7,6
20/07,7,9
21/07,6,9
22/07,5,7
23/07,7,6
24/07,5,8
25/07,7,6
26/07,7,8
27/07,11,9
28/07,10,14
29/07,21,12
30/07,20,26
31/07,20,24
01/08,18,25
02/08,20,21
03/08,9,24
04/08,10,11
05/08,11,12
06/08,11,13
07/08,10,13
08/08,12,12
09/08,13,15
10/08,13,16
11/08,22,15
12/08,28,27
13/08,55,34
14/08,85,66
15/08,115,102
16/08,128,139
17/08,146,153
18/08,148,176
19/08,123,178
20/08,128,147
21/08,129,153
22/08,129,156
23/08,120,155
24/08,118,144
25/08,106,141
26/08,98,127
27/08,85,118
28/08,86,102
29/08,105,104
30/08,107,127
31/08,114,128
01/09,143,137
02/09,155,171
03/09,,203
04/09,,238
05/09,,277
06/09,,319
07/09,,365
08/09,,413
09/09,,465
10/09,,518
11/09,,574
12/09,,632
13/09,,690
14/09,,750
15/09,,811
16/09,,871
17/09,,932
