Date,Real,Predict
04/07,0,0
05/07,0,0
06/07,0,0
07/07,0,0
08/07,0,0
09/07,0,0
10/07,1,1
11/07,2,2
12/07,2,2
13/07,2,2
14/07,2,20
15/07,3,21
16/07,3,23
17/07,4,24
18/07,4,27
19/07,4,27
20/07,5,28
21/07,5,30
22/07,6,32
23/07,8,35
24/07,9,40
25/07,10,43
26/07,14,45
27/07,14,53
28/07,17,54
29/07,20,58
30/07,22,63
31/07,26,67
01/08,29,75
02/08,32,81
03/08,38,83
04/08,42,90
05/08,45,94
06/08,51,98
07/08,55,104
08/08,59,108
09/08,68,113
10/08,71,122
11/08,80,125
12/08,86,135
13/08,93,141
14/08,104,149
15/08,119,161
16/08,130,176
17/08,135,256
18/08,144,356
19/08,151,475
20/08,168,612
21/08,,765
22/08,,934
23/08,,1116
24/08,,1322
25/08,,1551
26/08,,1836
27/08,,2159
