Date,Real,Predict
24/06,8,8
25/06,11,11
26/06,12,12
27/06,13,13
28/06,15,15
29/06,31,31
30/06,39,39
01/07,54,54
02/07,57,57
03/07,60,60
04/07,61,152
05/07,63,154
06/07,66,163
07/07,71,171
08/07,73,184
09/07,78,188
10/07,125,198
11/07,130,248
12/07,140,260
13/07,152,280
14/07,161,308
15/07,177,326
16/07,256,350
17/07,270,445
18/07,373,461
19/07,483,569
20/07,543,689
21/07,658,754
22/07,728,887
23/07,857,971
24/07,1056,1096
25/07,1161,1294
26/07,1238,1400
27/07,1348,1477
28/07,1426,1586
29/07,1505,1665
30/07,1613,1893
31/07,1660,2111
01/08,1770,2320
02/08,1862,2522
03/08,,2717
04/08,,2905
05/08,,3087
06/08,,3264
07/08,,3435
08/08,,3602
09/08,,3764
