Date,Real,Predict
24/06,506,506
25/06,570,570
26/06,593,593
27/06,682,682
28/06,699,699
29/06,747,747
30/06,824,824
01/07,899,899
02/07,944,944
03/07,975,975
04/07,993,1193
05/07,1060,1209
06/07,1117,1268
07/07,1199,1318
08/07,1218,1390
09/07,1278,1407
10/07,1318,1460
11/07,1392,1495
12/07,1502,1560
13/07,1666,1657
14/07,1762,1802
15/07,1846,1886
16/07,2031,1961
17/07,2057,2124
18/07,2132,2147
19/07,2258,2213
20/07,2317,2324
21/07,2528,2376
22/07,2692,2562
23/07,2671,2706
24/07,2702,2688
25/07,2731,2716
26/07,2753,2741
27/07,2764,2761
28/07,2785,2771
29/07,2807,2777
30/07,2817,2781
31/07,2827,2785
01/08,2862,2788
02/08,,2790
03/08,,2791
04/08,,2792
05/08,,2794
06/08,,2795
07/08,,2795
08/08,,2796
