Date,Real,Predict
24/06,11171,11171
25/06,12073,12073
26/06,12891,12891
27/06,14021,14021
28/06,14498,14498
29/06,14838,14838
30/06,15261,15261
01/07,15847,15847
02/07,16968,16968
03/07,17803,17803
04/07,18939,34045
05/07,20371,35043
06/07,21848,36304
07/07,23661,37613
08/07,25421,39225
09/07,27471,40789
10/07,28125,42606
11/07,30648,43201
12/07,33454,45441
13/07,36583,47920
14/07,39889,50685
15/07,43089,53609
16/07,45835,56447
17/07,48641,58886
18/07,50143,61392
19/07,52708,62749
20/07,54586,65030
21/07,58442,66708
22/07,62997,70111
23/07,62281,74123
24/07,62879,73509
25/07,63714,74075
26/07,64531,74835
27/07,64884,75569
28/07,65737,85247
29/07,66577,93466
30/07,66840,100177
31/07,67442,105640
01/08,,110132
02/08,,113790
03/08,,116806
04/08,,119312
05/08,,121294
06/08,,123249
07/08,,125150
