Date,Real,Predict
29/06,394,394
30/06,340,340
01/07,303,303
02/07,208,208
03/07,132,132
04/07,173,173
05/07,205,205
06/07,295,295
07/07,289,289
08/07,291,291
09/07,305,447
10/07,291,469
11/07,213,446
12/07,248,327
13/07,347,381
14/07,328,534
15/07,344,504
16/07,409,528
17/07,393,628
18/07,385,604
19/07,395,591
20/07,461,606
21/07,423,708
22/07,478,650
23/07,519,733
24/07,580,796
25/07,527,889
26/07,595,808
27/07,618,911
28/07,655,948
29/07,669,1004
30/07,770,1024
31/07,747,1179
01/08,776,1144
02/08,721,1188
03/08,727,1103
04/08,697,1112
05/08,674,1067
06/08,692,1031
07/08,828,1059
08/08,932,1266
09/08,1121,1425
10/08,1356,1713
11/08,1514,2072
12/08,,2314
13/08,,3534
14/08,,5393
15/08,,8223
16/08,,12538
17/08,,19127
18/08,,29139
19/08,,44291
20/08,,67198
21/08,,102984
22/08,,158850
23/08,,225190
