Date,Real,Predict
29/06,179,179
30/06,220,220
01/07,238,238
02/07,255,255
03/07,327,327
04/07,445,445
05/07,489,489
06/07,608,608
07/07,685,685
08/07,761,761
09/07,847,2996
10/07,896,3221
11/07,980,3451
12/07,1086,3719
13/07,1269,4051
14/07,1437,4446
15/07,2209,4865
16/07,2364,5655
17/07,2608,6123
18/07,2830,6710
19/07,3139,7318
20/07,3726,8029
21/07,4905,8980
22/07,6490,10413
23/07,8536,12225
24/07,10767,14289
25/07,12654,16660
26/07,14766,18628
27/07,16721,21059
28/07,21075,23438
29/07,24926,27325
30/07,28054,30920
31/07,30879,33887
01/08,34370,36573
02/08,37574,39809
03/08,40699,42846
04/08,43475,45811
05/08,46516,48381
06/08,49339,51237
07/08,52672,53932
08/08,55495,57024
09/08,57701,59703
10/08,60665,61911
11/08,62707,64699
12/08,64856,66697
13/08,67031,69842
14/08,70448,72318
15/08,72594,74261
16/08,75310,75777
17/08,,76953
18/08,,77858
19/08,,78548
20/08,,79070
21/08,,79462
22/08,,79757
23/08,,79982
