Date,Real,Predict
29/06,8,8
30/06,9,9
01/07,9,9
02/07,11,11
03/07,12,12
04/07,15,15
05/07,21,21
06/07,26,26
07/07,29,29
08/07,33,33
09/07,40,812
10/07,51,868
11/07,59,942
12/07,76,1014
13/07,103,1111
14/07,114,1214
15/07,128,1315
16/07,144,1357
17/07,173,1483
18/07,211,1635
19/07,234,1809
20/07,257,1976
21/07,315,2139
22/07,365,2316
23/07,424,2488
24/07,479,2612
25/07,545,2778
26/07,614,2926
27/07,684,3162
28/07,799,3430
29/07,914,3513
30/07,1043,3654
31/07,1149,3819
01/08,1324,3961
02/08,1495,4151
03/08,1659,4360
04/08,1877,4560
05/08,2093,4791
06/08,2312,5034
07/08,2497,5293
08/08,2732,5494
09/08,3001,5762
10/08,3309,6096
11/08,3570,6431
12/08,3795,6737
13/08,4018,9776
14/08,4303,12702
15/08,4585,15528
16/08,4900,18266
17/08,,20926
18/08,,23517
19/08,,26047
20/08,,28524
21/08,,30953
22/08,,33340
23/08,,35689
