Date,Real,Predict
29/06,2080,2080
30/06,2393,2393
01/07,279,279
02/07,268,268
03/07,279,279
04/07,555,555
05/07,286,286
06/07,550,550
07/07,355,355
08/07,597,597
09/07,619,877
10/07,370,622
11/07,695,372
12/07,545,691
13/07,993,545
14/07,752,989
15/07,653,748
16/07,383,656
17/07,786,388
18/07,944,779
19/07,836,938
20/07,1149,832
21/07,550,1141
22/07,461,542
23/07,473,460
24/07,710,474
25/07,1201,713
26/07,915,1198
27/07,1229,913
28/07,1492,1227
29/07,1569,1489
30/07,1936,1560
31/07,1970,1935
01/08,2229,1972
02/08,1440,2222
03/08,2694,1419
04/08,3079,2694
05/08,3389,3070
06/08,3638,3381
07/08,3810,3629
08/08,3983,3798
09/08,4441,3947
10/08,3607,4401
11/08,4851,3554
12/08,3831,4794
13/08,6037,3775
