Date,Real,Predict
26/06,0,0
27/06,0,0
28/06,0,0
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,0,0
05/07,0,0
06/07,2,263
07/07,2,293
08/07,2,311
09/07,2,344
10/07,3,369
11/07,3,417
12/07,5,453
13/07,5,484
14/07,8,501
15/07,9,541
16/07,9,585
17/07,11,624
18/07,12,680
19/07,15,704
20/07,21,723
21/07,26,749
22/07,29,782
23/07,33,839
24/07,40,882
25/07,51,944
26/07,59,1023
27/07,76,1102
28/07,103,1205
29/07,114,1316
30/07,128,1425
31/07,144,1470
01/08,173,1607
02/08,211,1770
03/08,234,1957
04/08,257,2138
05/08,315,2314
06/08,365,2503
07/08,424,2687
08/08,479,2818
09/08,545,2995
10/08,614,3150
