Date,Real,Predict
29/06,14,14
30/06,28,28
01/07,28,28
02/07,29,29
03/07,46,46
04/07,47,47
05/07,47,47
06/07,52,52
07/07,52,52
08/07,52,52
09/07,70,333
10/07,70,381
11/07,70,400
12/07,99,435
13/07,103,490
14/07,107,545
15/07,133,587
16/07,159,644
17/07,179,688
18/07,220,747
19/07,238,833
20/07,255,892
21/07,327,967
22/07,445,1061
23/07,489,1193
24/07,608,1258
25/07,685,1404
26/07,761,1536
27/07,847,1653
28/07,896,1795
29/07,980,1916
30/07,1086,2073
31/07,1269,2269
01/08,1437,2538
02/08,2209,2806
03/08,2364,3591
04/08,2608,3871
05/08,2830,4252
06/08,3139,4629
07/08,3726,5099
08/08,4905,5834
09/08,6490,7122
10/08,8536,8808
11/08,10767,10876
12/08,12654,13178
13/08,14766,15110
