Date,Real,Predict
29/06,204,204
30/06,203,203
01/07,244,244
02/07,254,254
03/07,302,302
04/07,276,276
05/07,294,294
06/07,282,282
07/07,311,311
08/07,341,341
09/07,394,371
10/07,432,428
11/07,382,470
12/07,402,416
13/07,361,437
14/07,326,393
15/07,386,354
16/07,470,420
17/07,394,511
18/07,340,428
19/07,303,369
20/07,208,329
21/07,132,226
22/07,173,144
23/07,205,188
24/07,295,223
25/07,289,320
26/07,291,314
27/07,305,316
28/07,291,332
29/07,213,316
30/07,248,231
31/07,347,269
01/08,328,377
02/08,344,357
03/08,409,374
04/08,393,444
05/08,385,427
06/08,395,418
07/08,461,428
08/08,423,501
09/08,,460
10/08,,518
11/08,,563
12/08,,630
13/08,,572
