Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,1,1
05/07,1,1
06/07,1,1
07/07,2,2
08/07,2,2
09/07,2,97
10/07,2,100
11/07,3,104
12/07,4,108
13/07,5,114
14/07,5,119
15/07,6,124
16/07,7,128
17/07,8,133
18/07,8,136
19/07,9,140
20/07,11,145
21/07,13,151
22/07,16,159
23/07,19,168
24/07,23,178
25/07,28,190
26/07,31,204
27/07,35,215
28/07,39,226
29/07,43,236
30/07,50,243
31/07,59,251
01/08,68,262
02/08,79,273
03/08,92,286
04/08,103,301
05/08,113,314
06/08,123,325
07/08,132,337
08/08,143,348
09/08,154,360
10/08,165,373
11/08,176,386
12/08,187,400
13/08,199,413
14/08,211,617
15/08,225,802
16/08,232,971
17/08,241,1124
18/08,,1266
19/08,,1396
20/08,,1517
21/08,,1630
22/08,,1737
23/08,,1839
24/08,,1936
