Date,Real,Predict
24/06,0,382
25/06,0,323
26/06,0,274
27/06,0,253
28/06,0,212
29/06,1,57
30/06,2,64
01/07,2,82
02/07,2,126
03/07,2,128
04/07,2,163
05/07,2,170
06/07,2,190
07/07,2,167
08/07,3,129
09/07,3,178
10/07,3,177
11/07,3,126
12/07,4,184
13/07,5,167
14/07,6,154
15/07,7,184
16/07,8,218
17/07,9,204
18/07,10,244
19/07,11,248
20/07,13,240
21/07,15,220
22/07,17,176
23/07,20,235
24/07,23,292
25/07,26,292
26/07,28,300
27/07,32,379
28/07,36,479
29/07,40,607
30/07,45,770
31/07,,977
01/08,,1240
02/08,,1576
03/08,,2007
04/08,,2564
05/08,,3273
06/08,,4177
