Date,Real,Predict
29/06,16,16
30/06,22,22
01/07,24,24
02/07,25,25
03/07,31,31
04/07,87,87
05/07,92,92
06/07,95,95
07/07,97,97
08/07,98,98
09/07,101,212
10/07,105,218
11/07,109,230
12/07,114,238
13/07,119,248
14/07,133,256
15/07,177,280
16/07,178,324
17/07,183,326
18/07,190,335
19/07,194,348
20/07,211,354
21/07,271,376
22/07,313,442
23/07,529,486
24/07,642,698
25/07,785,812
26/07,933,955
27/07,1014,1112
28/07,1056,1200
29/07,1276,1239
30/07,1408,1446
31/07,1520,1572
01/08,1834,1678
02/08,2064,1973
03/08,2239,2192
04/08,2447,2358
05/08,2577,2553
06/08,2676,2676
07/08,2818,2771
08/08,2946,2904
09/08,3037,3026
10/08,3176,3115
11/08,3253,3246
12/08,3351,3321
13/08,3459,3416
14/08,3553,3521
15/08,3710,3609
16/08,3822,3651
17/08,3965,3679
18/08,4108,3696
19/08,4232,3703
20/08,,3701
21/08,,3693
22/08,,3679
23/08,,3659
24/08,,3636
25/08,,3610
26/08,,3582
