Date,Real,Predict
29/06,489,489
30/06,514,514
01/07,8,8
02/07,80,80
03/07,37,37
04/07,128,128
05/07,90,90
06/07,94,94
07/07,255,255
08/07,36,36
09/07,7,40
10/07,32,10
11/07,10,32
12/07,77,0
13/07,41,75
14/07,124,31
15/07,77,123
16/07,91,78
17/07,60,80
18/07,99,64
19/07,174,105
20/07,93,184
21/07,74,100
22/07,116,72
23/07,189,115
24/07,347,188
25/07,31,344
26/07,234,26
27/07,49,230
28/07,226,47
29/07,223,212
30/07,228,208
31/07,50,215
01/08,379,50
02/08,279,368
03/08,193,275
04/08,24,185
05/08,183,27
06/08,87,185
07/08,134,94
08/08,117,127
09/08,105,115
10/08,66,98
11/08,53,68
12/08,288,52
13/08,44,288
14/08,256,42
15/08,159,245
16/08,28,156
17/08,169,27
18/08,17,167
19/08,317,16
20/08,116,319
21/08,153,115
22/08,34,159
23/08,142,35
24/08,103,156
25/08,203,98
26/08,33,196
27/08,362,22
28/08,322,351
29/08,0,327
30/08,250,-23
31/08,430,26
01/09,0,-26
02/09,531,38
03/09,,89
04/09,,-20
05/09,,55
06/09,,137
07/09,,159
08/09,,56
09/09,,-3
