Date,Real,Predict
24/06,1,251
25/06,1,300
26/06,1,314
27/06,1,260
28/06,1,241
29/06,2,126
30/06,3,63
01/07,4,59
02/07,5,46
03/07,5,34
04/07,5,44
05/07,5,43
06/07,5,37
07/07,6,40
08/07,7,65
09/07,8,78
10/07,9,82
11/07,10,109
12/07,11,117
13/07,12,127
14/07,13,142
15/07,14,147
16/07,15,149
17/07,16,143
18/07,19,126
19/07,23,130
20/07,24,156
21/07,27,122
22/07,28,149
23/07,35,169
24/07,41,174
25/07,48,144
26/07,49,158
27/07,66,131
28/07,77,94
29/07,85,61
30/07,87,59
31/07,97,50
01/08,102,44
02/08,110,57
03/08,117,74
04/08,123,97
05/08,127,126
06/08,,163
07/08,,212
08/08,,276
09/08,,358
10/08,,466
11/08,,605
12/08,,785
