Date,Real,Predict
24/06,3,3
25/06,4,4
26/06,4,4
27/06,4,4
28/06,7,7
29/06,7,7
30/06,7,7
01/07,12,12
02/07,15,15
03/07,18,18
04/07,22,61
05/07,24,65
06/07,28,68
07/07,33,72
08/07,41,79
09/07,49,88
10/07,84,100
11/07,91,134
12/07,102,144
13/07,112,156
14/07,126,169
15/07,152,188
16/07,205,215
17/07,276,266
18/07,368,335
19/07,468,425
20/07,553,529
21/07,648,608
22/07,736,703
23/07,931,784
24/07,1104,970
25/07,1244,1008
26/07,1371,1044
27/07,1528,1078
28/07,1672,1110
29/07,,1142
30/07,,1172
31/07,,1202
01/08,,1231
02/08,,1259
03/08,,1287
04/08,,1315
