Date,Real,Predict
24/06,104,104
25/06,125,125
26/06,161,161
27/06,257,257
28/06,258,258
29/06,319,319
30/06,420,420
01/07,420,420
02/07,420,420
03/07,420,420
04/07,422,551
05/07,443,553
06/07,499,573
07/07,595,624
08/07,597,713
09/07,661,715
10/07,757,774
11/07,812,863
12/07,816,914
13/07,871,918
14/07,918,969
15/07,964,1012
16/07,997,1055
17/07,1041,1085
18/07,1105,1126
19/07,1180,1185
20/07,1187,1255
21/07,1231,1261
22/07,1289,1303
23/07,1328,1357
24/07,1365,1393
25/07,1397,1454
26/07,1492,1511
27/07,1549,1564
28/07,1620,1614
29/07,,1660
30/07,,1704
31/07,,1745
01/08,,1784
02/08,,1820
03/08,,1856
04/08,,1892
