Date,Real,Predict
24/06,0,199
25/06,0,272
26/06,0,242
27/06,0,150
28/06,0,149
29/06,0,93
30/06,1,3
01/07,1,29
02/07,1,33
03/07,1,34
04/07,1,36
05/07,1,43
06/07,1,45
07/07,2,20
08/07,2,18
09/07,2,22
10/07,3,16
11/07,3,12
12/07,3,11
13/07,4,19
14/07,4,17
15/07,4,26
16/07,4,33
17/07,4,31
18/07,5,26
19/07,6,25
20/07,6,31
21/07,7,25
22/07,8,114
23/07,9,112
24/07,10,114
25/07,11,100
26/07,14,103
27/07,16,15
28/07,19,19
29/07,21,19
30/07,25,24
31/07,28,23
01/08,29,25
02/08,30,27
03/08,31,30
04/08,32,33
05/08,,36
06/08,,39
07/08,,42
08/08,,46
09/08,,50
10/08,,54
11/08,,59
