Date,Real,Predict
29/06,0,0
30/06,1,1
01/07,2,2
02/07,3,3
03/07,3,3
04/07,19,19
05/07,28,28
06/07,28,28
07/07,28,28
08/07,28,28
09/07,28,46
10/07,29,46
11/07,32,48
12/07,37,53
13/07,37,63
14/07,42,63
15/07,93,70
16/07,96,121
17/07,96,127
18/07,100,127
19/07,104,133
20/07,111,139
21/07,121,148
22/07,137,158
23/07,173,175
24/07,207,211
25/07,210,245
26/07,225,248
27/07,242,264
28/07,287,282
29/07,318,324
30/07,342,354
31/07,414,377
01/08,464,447
02/08,518,495
03/08,561,547
04/08,606,588
05/08,650,631
06/08,661,674
07/08,670,684
08/08,682,693
09/08,688,704
10/08,766,710
11/08,772,785
12/08,849,791
13/08,865,867
14/08,936,883
15/08,973,951
16/08,1030,988
17/08,1050,1042
18/08,1142,1054
19/08,1191,1065
20/08,1244,1075
21/08,1309,1084
22/08,,1092
23/08,,1100
24/08,,1108
25/08,,1114
26/08,,1121
27/08,,1127
28/08,,1132
