Date,Real,Predict
24/06,0,28
25/06,0,23
26/06,0,26
27/06,0,28
28/06,0,27
29/06,0,18
30/06,0,20
01/07,1,20
02/07,1,15
03/07,2,14
04/07,2,20
05/07,3,22
06/07,3,16
07/07,3,14
08/07,3,15
09/07,3,21
10/07,3,20
11/07,4,21
12/07,6,23
13/07,8,22
14/07,9,20
15/07,10,22
16/07,12,23
17/07,14,22
18/07,15,28
19/07,17,29
20/07,18,36
21/07,20,30
22/07,22,34
23/07,24,32
24/07,29,33
25/07,35,25
26/07,43,30
27/07,52,24
28/07,65,21
29/07,76,16
30/07,92,16
31/07,99,14
01/08,116,15
02/08,130,16
03/08,145,15
04/08,158,19
05/08,188,28
06/08,211,40
07/08,225,59
08/08,242,85
09/08,,123
10/08,,179
11/08,,260
12/08,,379
13/08,,555
14/08,,815
15/08,,1194
