Date,Real,Predict
24/06,17,17
25/06,17,17
26/06,17,17
27/06,18,18
28/06,39,39
29/06,74,74
30/06,79,79
01/07,91,91
02/07,96,96
03/07,110,110
04/07,115,175
05/07,115,184
06/07,116,184
07/07,117,187
08/07,130,189
09/07,136,208
10/07,148,218
11/07,166,230
12/07,201,264
13/07,229,320
14/07,241,370
15/07,276,388
16/07,499,433
17/07,690,675
18/07,830,876
19/07,1043,1015
20/07,1222,1231
21/07,1309,1412
22/07,1540,1504
23/07,1688,1754
24/07,1920,1894
25/07,2325,2116
26/07,2352,2508
27/07,2436,2535
28/07,2501,2615
29/07,2571,2678
30/07,2718,2746
31/07,2822,2887
01/08,2891,2987
02/08,2964,3054
03/08,2994,3197
04/08,3028,3322
05/08,3066,3429
06/08,3128,3522
07/08,,3601
08/08,,3667
09/08,,3724
10/08,,3770
11/08,,3808
12/08,,3839
13/08,,3862
