Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,1,1
05/07,2,2
06/07,2,2
07/07,2,2
08/07,3,3
09/07,3,22
10/07,3,23
11/07,3,23
12/07,3,23
13/07,5,23
14/07,5,27
15/07,5,29
16/07,7,29
17/07,11,35
18/07,16,45
19/07,17,56
20/07,18,59
21/07,29,64
22/07,35,83
23/07,39,94
24/07,44,99
25/07,50,108
26/07,53,117
27/07,61,122
28/07,65,139
29/07,72,142
30/07,89,150
31/07,90,168
01/08,94,170
02/08,97,174
03/08,101,177
04/08,113,181
05/08,120,194
06/08,125,201
07/08,130,206
08/08,132,212
09/08,135,214
10/08,139,217
11/08,145,221
12/08,148,228
13/08,152,231
14/08,156,235
15/08,160,239
16/08,170,244
17/08,175,254
18/08,179,336
19/08,196,416
20/08,201,495
21/08,212,571
22/08,,646
23/08,,720
24/08,,793
25/08,,865
26/08,,935
27/08,,1005
28/08,,1074
