Date,Real,Predict
24/06,1135,1135
25/06,1255,1255
26/06,1386,1386
27/06,1575,1575
28/06,1750,1750
29/06,1862,1862
30/06,2102,2102
01/07,2137,2137
02/07,2155,2155
03/07,2162,2162
04/07,2414,3365
05/07,2516,3603
06/07,2624,3700
07/07,2829,3802
08/07,3015,3996
09/07,3180,4172
10/07,3385,4328
11/07,3601,4522
12/07,3747,4726
13/07,3900,4864
14/07,4264,5009
15/07,4400,5353
16/07,4523,5482
17/07,4782,5598
18/07,4975,5843
19/07,5156,6026
20/07,5640,6197
21/07,5750,6655
22/07,6212,6759
23/07,6547,7196
24/07,6837,7513
25/07,7070,7787
26/07,7346,8008
27/07,7478,8269
28/07,7878,9142
29/07,8061,9967
30/07,8310,10747
31/07,8790,11498
01/08,,12258
02/08,,13036
03/08,,13777
04/08,,14412
05/08,,14958
06/08,,15427
07/08,,15802
