Date,Real,Predict
29/06,503,503
30/06,608,608
01/07,44,44
02/07,12,12
03/07,11,11
04/07,94,94
05/07,20,20
06/07,10,10
07/07,12,12
08/07,8,8
09/07,89,12
10/07,82,92
11/07,43,83
12/07,8,49
13/07,10,18
14/07,106,27
15/07,8,129
16/07,100,45
17/07,64,126
18/07,182,116
19/07,61,188
20/07,155,63
21/07,87,154
22/07,213,89
23/07,63,221
24/07,233,60
25/07,105,228
26/07,174,97
27/07,98,165
28/07,99,92
29/07,259,87
30/07,135,239
31/07,20,125
01/08,110,18
02/08,137,101
03/08,98,127
04/08,162,90
05/08,44,148
06/08,221,40
07/08,106,206
08/08,122,97
09/08,187,114
10/08,207,178
11/08,136,192
12/08,156,128
13/08,274,151
14/08,314,260
15/08,157,294
16/08,199,152
17/08,332,188
18/08,212,306
19/08,287,199
20/08,184,270
21/08,327,179
22/08,140,322
23/08,304,141
24/08,268,324
25/08,529,255
26/08,429,511
27/08,528,408
28/08,106,-90
29/08,651,-67
30/08,826,-47
31/08,569,-26
01/09,479,-2
02/09,,18
03/09,,33
04/09,,50
05/09,,66
06/09,,81
07/09,,93
08/09,,104
09/09,,112
10/09,,120
11/09,,127
