Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,0,0
04/07,1,1
05/07,1,1
06/07,1,1
07/07,1,1
08/07,1,1
09/07,2,16
10/07,3,18
11/07,3,21
12/07,3,22
13/07,3,22
14/07,4,22
15/07,4,25
16/07,5,25
17/07,6,28
18/07,8,30
19/07,8,35
20/07,9,36
21/07,10,40
22/07,12,42
23/07,13,47
24/07,16,48
25/07,18,53
26/07,20,56
27/07,21,61
28/07,24,63
29/07,31,66
30/07,35,73
31/07,36,78
01/08,41,79
02/08,47,84
03/08,51,91
04/08,62,95
05/08,64,106
06/08,76,108
07/08,81,121
08/08,88,127
09/08,101,134
10/08,117,148
11/08,128,165
12/08,137,177
13/08,154,187
14/08,175,206
15/08,185,227
16/08,204,239
17/08,231,258
18/08,246,286
19/08,266,303
20/08,283,363
21/08,305,426
22/08,316,492
23/08,340,561
24/08,,632
25/08,,705
26/08,,781
27/08,,859
28/08,,939
29/08,,1022
30/08,,1106
