Date,Real,Predict
24/06,1,197
25/06,1,130
26/06,1,118
27/06,1,117
28/06,1,110
29/06,1,16
30/06,1,17
01/07,1,46
02/07,1,41
03/07,1,40
04/07,1,60
05/07,1,79
06/07,1,68
07/07,1,27
08/07,1,33
09/07,1,48
10/07,1,33
11/07,1,38
12/07,1,48
13/07,1,60
14/07,1,48
15/07,1,51
16/07,1,69
17/07,1,59
18/07,1,59
19/07,1,85
20/07,1,131
21/07,1,147
22/07,1,157
23/07,1,171
24/07,1,165
25/07,1,134
26/07,1,134
27/07,1,204
28/07,1,309
29/07,1,469
30/07,1,711
31/07,,1079
01/08,,1637
02/08,,2480
03/08,,3748
04/08,,5644
05/08,,8450
06/08,,12627
