Date,Real,Predict
29/06,7,7
30/06,12,12
01/07,13,13
02/07,13,13
03/07,14,14
04/07,38,38
05/07,40,40
06/07,42,42
07/07,43,43
08/07,44,44
09/07,50,120
10/07,53,134
11/07,55,144
12/07,55,151
13/07,56,151
14/07,64,153
15/07,68,170
16/07,74,174
17/07,79,190
18/07,91,200
19/07,96,228
20/07,120,239
21/07,146,274
22/07,222,303
23/07,258,385
24/07,365,420
25/07,417,528
26/07,478,580
27/07,507,646
28/07,622,679
29/07,841,780
30/07,944,979
31/07,959,1074
01/08,1055,1088
02/08,1159,1174
03/08,1233,1270
04/08,1371,1338
05/08,1406,1463
06/08,1564,1495
07/08,1655,1641
08/08,1745,1724
09/08,1849,1807
10/08,2007,1907
11/08,2090,2051
12/08,2179,2130
13/08,2350,2216
14/08,2607,2377
15/08,2683,2362
16/08,2846,2315
17/08,3086,2245
18/08,3217,2158
19/08,,2061
20/08,,1956
21/08,,1848
22/08,,1740
23/08,,1633
24/08,,1529
25/08,,1428
