Date,Real,Predict
24/06,0,0
25/06,0,0
26/06,0,0
27/06,0,0
28/06,0,0
29/06,0,0
30/06,2,2
01/07,2,2
02/07,2,2
03/07,2,2
04/07,2,33
05/07,2,34
06/07,2,35
07/07,3,35
08/07,3,39
09/07,3,40
10/07,4,42
11/07,5,44
12/07,6,48
13/07,7,51
14/07,8,55
15/07,8,59
16/07,10,60
17/07,11,65
18/07,12,68
19/07,13,70
20/07,16,72
21/07,18,77
22/07,20,83
23/07,21,89
24/07,27,90
25/07,30,97
26/07,34,101
27/07,43,106
28/07,51,115
29/07,57,124
30/07,69,131
31/07,77,144
01/08,85,153
02/08,94,162
03/08,106,171
04/08,114,245
05/08,125,314
06/08,138,380
07/08,149,443
08/08,,503
09/08,,560
10/08,,615
11/08,,667
12/08,,718
13/08,,767
14/08,,814
