Date,Real,Predict
29/06,609,609
30/06,647,647
01/07,49,49
02/07,112,112
03/07,23,23
04/07,40,40
05/07,125,125
06/07,4,4
07/07,36,36
08/07,13,13
09/07,12,422
10/07,30,6
11/07,18,29
12/07,111,16
13/07,25,111
14/07,55,28
15/07,111,55
16/07,95,112
17/07,67,97
18/07,97,70
19/07,114,100
20/07,19,116
21/07,140,25
22/07,91,136
23/07,74,93
24/07,61,75
25/07,147,60
26/07,196,140
27/07,202,191
28/07,35,196
29/07,254,32
30/07,98,249
31/07,134,94
01/08,217,131
02/08,186,212
03/08,157,180
04/08,176,149
05/08,148,164
06/08,150,139
07/08,196,151
08/08,192,190
09/08,124,194
10/08,140,129
11/08,165,143
12/08,188,168
13/08,179,191
14/08,140,179
15/08,222,140
16/08,117,218
17/08,133,112
18/08,153,130
19/08,168,153
20/08,169,164
21/08,102,164
22/08,286,95
23/08,230,283
24/08,97,228
25/08,259,101
26/08,33,269
27/08,291,42
28/08,202,290
29/08,12,204
30/08,14,399
31/08,0,425
01/09,0,458
02/09,7,508
03/09,,531
04/09,,537
05/09,,533
06/09,,509
07/09,,458
08/09,,431
09/09,,421
