Date,Real,Predict
29/06,8,8
30/06,10,10
01/07,11,11
02/07,13,13
03/07,16,16
04/07,26,26
05/07,38,38
06/07,39,39
07/07,41,41
08/07,42,42
09/07,43,69
10/07,44,70
11/07,45,72
12/07,51,74
13/07,53,82
14/07,57,85
15/07,117,90
16/07,122,151
17/07,127,158
18/07,133,165
19/07,143,173
20/07,146,185
21/07,187,189
22/07,219,232
23/07,261,265
24/07,289,308
25/07,361,336
26/07,430,410
27/07,490,482
28/07,531,545
29/07,745,585
30/07,820,799
31/07,921,874
01/08,1109,975
02/08,1250,1162
03/08,1369,1303
04/08,1519,1422
05/08,1636,1572
06/08,1743,1689
07/08,1911,1796
08/08,2053,1963
09/08,2122,2105
10/08,2229,2175
11/08,2330,2281
12/08,2437,2383
13/08,2548,2490
14/08,2663,2602
15/08,2770,2716
16/08,2866,2825
17/08,2962,2921
18/08,3057,3017
19/08,3157,3113
20/08,3269,3214
21/08,3333,3326
22/08,3452,3390
23/08,3543,3512
24/08,3587,3605
25/08,3701,3650
26/08,3719,3767
27/08,3840,3785
28/08,3938,3909
29/08,4050,4008
30/08,4189,4116
31/08,4323,4238
01/09,4450,4416
02/09,4545,4636
03/09,5010,4860
04/09,,5118
05/09,,5444
06/09,,5871
07/09,,6483
08/09,,7363
09/09,,8643
10/09,,10470
