Date,Real,Predict
02/07,39,39
03/07,57,57
04/07,55,55
05/07,36,36
06/07,33,33
07/07,26,26
08/07,6,6
09/07,7,7
10/07,5,5
11/07,5,5
12/07,8,6
13/07,6,10
14/07,6,9
15/07,9,8
16/07,14,12
17/07,12,19
18/07,13,15
19/07,13,16
20/07,10,17
21/07,9,13
22/07,12,12
23/07,17,15
24/07,17,22
25/07,18,21
26/07,15,22
27/07,17,19
28/07,10,21
29/07,12,13
30/07,12,14
31/07,13,15
01/08,12,16
02/08,14,15
03/08,14,18
04/08,17,17
05/08,17,21
06/08,16,21
07/08,16,19
08/08,17,20
09/08,18,20
10/08,23,22
11/08,46,28
12/08,65,56
13/08,85,79
14/08,98,103
15/08,106,119
16/08,99,129
17/08,102,119
18/08,104,124
19/08,104,126
20/08,135,126
21/08,163,164
22/08,156,197
23/08,164,188
24/08,150,197
25/08,160,180
26/08,155,190
27/08,192,183
28/08,228,225
29/08,257,265
30/08,247,299
31/08,241,286
01/09,324,278
02/09,312,371
03/09,,424
04/09,,485
05/09,,554
06/09,,632
07/09,,720
08/09,,820
09/09,,932
10/09,,1058
11/09,,1201
12/09,,1361
13/09,,1541
14/09,,1743
15/09,,1970
16/09,,2223
17/09,,2506
