Date,Real,Predict
29/06,13,13
30/06,21,21
01/07,22,22
02/07,27,27
03/07,52,52
04/07,109,109
05/07,135,135
06/07,142,142
07/07,145,145
08/07,148,148
09/07,157,279
10/07,162,295
11/07,168,309
12/07,182,321
13/07,200,349
14/07,218,376
15/07,351,406
16/07,364,533
17/07,366,559
18/07,390,562
19/07,410,607
20/07,423,638
21/07,495,655
22/07,614,730
23/07,697,851
24/07,822,930
25/07,841,1052
26/07,919,1070
27/07,1020,1150
28/07,1036,1256
29/07,1290,1270
30/07,1618,1501
31/07,1650,1801
01/08,1850,1831
02/08,1986,2012
03/08,2018,2136
04/08,2050,2166
05/08,2738,2195
06/08,2754,2822
07/08,3106,2837
08/08,3255,3155
09/08,3306,3292
10/08,3443,3340
11/08,3574,3465
12/08,3643,3587
13/08,3764,3652
14/08,3918,3765
15/08,3999,3905
16/08,4176,3982
17/08,4342,3968
18/08,4483,3955
19/08,4623,3944
20/08,4768,3934
21/08,,3925
22/08,,3917
23/08,,3910
24/08,,3903
25/08,,3898
26/08,,3893
27/08,,3888
