Date,Real,Predict
29/06,945,945
30/06,1127,1127
01/07,61,61
02/07,353,353
03/07,193,193
04/07,221,221
05/07,276,276
06/07,40,40
07/07,42,42
08/07,42,42
09/07,135,3239
10/07,148,163
11/07,104,131
12/07,249,122
13/07,189,236
14/07,234,179
15/07,249,229
16/07,222,228
17/07,26,194
18/07,369,8
19/07,231,342
20/07,82,215
21/07,243,60
22/07,333,255
23/07,147,311
24/07,271,157
25/07,39,259
26/07,223,50
27/07,340,188
28/07,14,385
29/07,301,25
30/07,429,288
31/07,43,417
01/08,230,72
02/08,180,210
03/08,42,185
04/08,37,32
05/08,873,54
06/08,22,852
07/08,410,0
08/08,202,399
09/08,92,207
10/08,180,69
11/08,214,180
12/08,122,194
13/08,194,113
14/08,188,169
15/08,168,255
16/08,216,144
17/08,230,229
18/08,227,216
19/08,235,207
20/08,219,212
21/08,218,201
22/08,173,184
23/08,198,161
24/08,257,183
25/08,342,261
26/08,225,2753
27/08,355,2240
28/08,253,1849
29/08,366,1519
30/08,,1927
31/08,,2046
01/09,,2007
02/09,,1986
03/09,,774
04/09,,5222
05/09,,14880
