Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,1,1
03/07,1,1
04/07,2,2
05/07,6,6
06/07,6,6
07/07,6,6
08/07,6,6
09/07,7,87
10/07,8,93
11/07,9,99
12/07,11,104
13/07,14,114
14/07,15,124
15/07,17,133
16/07,18,139
17/07,18,148
18/07,22,149
19/07,23,165
20/07,23,174
21/07,27,177
22/07,31,187
23/07,33,199
24/07,36,203
25/07,37,211
26/07,40,213
27/07,44,221
28/07,44,234
29/07,52,234
30/07,66,244
31/07,67,261
01/08,77,262
02/08,84,273
03/08,86,281
04/08,88,284
05/08,137,286
06/08,138,340
07/08,158,341
08/08,170,362
09/08,176,376
10/08,190,383
11/08,207,398
12/08,214,418
13/08,226,427
14/08,239,441
15/08,250,454
16/08,271,468
17/08,290,490
18/08,306,511
19/08,323,529
20/08,343,744
21/08,358,949
22/08,371,1148
23/08,387,1339
24/08,,1523
25/08,,1703
26/08,,1877
27/08,,2047
28/08,,2212
29/08,,2375
30/08,,2535
