Date,Real,Predict
29/06,126,126
30/06,99,99
01/07,99,99
02/07,99,99
03/07,35,35
04/07,11,11
05/07,17,17
06/07,16,16
07/07,14,14
08/07,13,13
09/07,21,16
10/07,12,24
11/07,15,15
12/07,28,18
13/07,42,33
14/07,37,49
15/07,42,44
16/07,50,50
17/07,43,59
18/07,37,51
19/07,37,43
20/07,42,43
21/07,37,49
22/07,44,44
23/07,47,51
24/07,54,55
25/07,46,63
26/07,50,53
27/07,52,58
28/07,57,61
29/07,60,67
30/07,68,69
31/07,66,79
01/08,58,76
02/08,49,67
03/08,49,57
04/08,50,57
05/08,50,58
06/08,56,58
07/08,58,65
08/08,54,67
09/08,55,63
10/08,58,63
11/08,56,67
12/08,55,65
13/08,60,64
14/08,62,69
15/08,67,72
16/08,71,78
17/08,78,83
18/08,82,91
19/08,73,95
20/08,73,85
21/08,75,85
22/08,77,87
23/08,79,90
24/08,133,92
25/08,157,153
26/08,212,181
27/08,229,245
28/08,236,264
29/08,,301
30/08,,338
31/08,,375
01/09,,412
02/09,,448
03/09,,484
04/09,,522
05/09,,561
06/09,,601
07/09,,641
08/09,,682
09/09,,723
10/09,,765
11/09,,807
12/09,,849
