Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,0,0
03/07,1,1
04/07,2,2
05/07,3,3
06/07,3,3
07/07,3,3
08/07,3,3
09/07,4,6
10/07,5,7
11/07,5,8
12/07,5,8
13/07,10,8
14/07,11,14
15/07,11,15
16/07,12,15
17/07,15,16
18/07,20,20
19/07,22,25
20/07,25,28
21/07,36,31
22/07,42,43
23/07,50,50
24/07,57,58
25/07,61,66
26/07,66,70
27/07,76,75
28/07,97,86
29/07,105,107
30/07,120,115
31/07,154,130
01/08,178,164
02/08,188,189
03/08,192,199
04/08,198,203
05/08,200,209
06/08,204,211
07/08,207,215
08/08,213,218
09/08,220,224
10/08,226,231
11/08,233,237
12/08,238,244
13/08,243,249
14/08,250,254
15/08,255,261
16/08,261,266
17/08,265,272
18/08,272,276
19/08,278,283
20/08,286,289
21/08,293,297
22/08,299,304
23/08,308,310
24/08,321,319
25/08,326,332
26/08,343,338
27/08,360,355
28/08,369,372
29/08,385,384
30/08,392,395
31/08,409,407
01/09,422,417
02/09,438,428
03/09,,439
04/09,,450
05/09,,461
06/09,,473
07/09,,485
08/09,,498
09/09,,513
10/09,,530
11/09,,549
12/09,,571
