Date,Real,Predict
29/06,1478,1478
30/06,1655,1655
01/07,62,62
02/07,73,73
03/07,333,333
04/07,155,155
05/07,95,95
06/07,11,11
07/07,58,58
08/07,41,41
09/07,106,14
10/07,194,108
11/07,3,193
12/07,19,3
13/07,338,22
14/07,181,339
15/07,19,180
16/07,140,18
17/07,323,141
18/07,431,321
19/07,368,429
20/07,443,369
21/07,786,440
22/07,489,777
23/07,504,486
24/07,629,488
25/07,205,617
26/07,444,202
27/07,969,439
28/07,680,953
29/07,328,634
30/07,468,314
31/07,1217,447
01/08,548,1158
02/08,256,517
03/08,104,242
04/08,91,98
05/08,44,85
06/08,71,41
07/08,72,67
08/08,94,67
09/08,103,88
10/08,71,98
11/08,85,67
12/08,82,81
13/08,79,78
14/08,107,76
15/08,73,101
16/08,61,71
17/08,50,58
18/08,98,48
19/08,84,94
20/08,84,80
21/08,107,80
22/08,84,103
23/08,109,81
24/08,205,106
25/08,92,203
26/08,273,92
27/08,312,269
28/08,147,307
29/08,174,-280
30/08,62,-238
31/08,141,-170
01/09,202,-51
02/09,433,150
03/09,,501
04/09,,1078
05/09,,1986
06/09,,3345
07/09,,5157
08/09,,7227
09/09,,9139
10/09,,10538
11/09,,11377
12/09,,11729
