Date,Real,Predict
29/06,718,718
30/06,745,745
01/07,65,65
02/07,174,174
03/07,118,118
04/07,97,97
05/07,183,183
06/07,51,51
07/07,150,150
08/07,155,155
09/07,11,107
10/07,26,7
11/07,144,20
12/07,181,144
13/07,117,181
14/07,107,124
15/07,181,123
16/07,120,184
17/07,100,150
18/07,135,105
19/07,11,144
20/07,10,7
21/07,406,11
22/07,195,402
23/07,139,198
24/07,114,143
25/07,211,123
26/07,270,224
27/07,291,269
28/07,211,300
29/07,223,199
30/07,180,208
31/07,196,175
01/08,345,189
02/08,277,325
03/08,269,266
04/08,277,265
05/08,367,267
06/08,169,355
07/08,401,166
08/08,205,381
09/08,301,199
10/08,347,292
11/08,328,332
12/08,244,316
13/08,235,237
14/08,255,228
15/08,442,244
16/08,258,428
17/08,345,246
18/08,242,332
19/08,281,233
20/08,345,274
21/08,287,331
22/08,661,274
23/08,309,638
24/08,609,307
25/08,271,586
26/08,130,268
27/08,106,132
28/08,337,113
29/08,155,-90
30/08,218,-92
31/08,309,-87
01/09,230,-78
02/09,96,-59
03/09,,-27
04/09,,15
05/09,,80
06/09,,168
07/09,,287
08/09,,435
09/09,,618
10/09,,833
11/09,,1070
12/09,,1310
