Date,Real,Predict
29/06,20,20
30/06,21,21
01/07,22,22
02/07,25,25
03/07,40,40
04/07,65,65
05/07,82,82
06/07,91,91
07/07,101,101
08/07,114,114
09/07,115,278
10/07,116,280
11/07,124,283
12/07,134,304
13/07,145,331
14/07,153,352
15/07,250,370
16/07,257,469
17/07,265,488
18/07,274,505
19/07,275,527
20/07,277,529
21/07,397,531
22/07,467,672
23/07,546,750
24/07,598,830
25/07,702,884
26/07,796,993
27/07,882,1098
28/07,1127,1200
29/07,1315,1424
30/07,1453,1601
31/07,1601,1733
01/08,1901,1875
02/08,2111,2157
03/08,2315,2358
04/08,2551,2553
05/08,2840,2775
06/08,2961,3050
07/08,3305,3167
08/08,3456,3491
09/08,3624,3636
10/08,3888,3805
11/08,4089,4056
12/08,4228,4254
13/08,4374,4393
14/08,4583,4536
15/08,4796,4734
16/08,5008,4953
17/08,5258,5153
18/08,5408,5393
19/08,5575,5540
20/08,5804,5705
21/08,5984,5927
22/08,6260,6104
23/08,6382,6396
24/08,6656,6527
25/08,6775,6813
26/08,6846,6938
27/08,6890,7010
28/08,7087,7057
29/08,7233,7162
30/08,7333,7214
31/08,7561,7222
01/09,7713,7192
02/09,7832,7132
03/09,,7048
04/09,,6944
05/09,,6824
06/09,,6693
07/09,,6554
08/09,,6410
09/09,,6262
10/09,,6114
11/09,,5966
12/09,,5820
