Date,Real,Predict
29/06,89,89
30/06,120,120
01/07,112,112
02/07,80,80
03/07,58,58
04/07,40,40
05/07,7,7
06/07,24,24
07/07,24,24
08/07,23,23
09/07,25,25
10/07,26,27
11/07,8,28
12/07,10,8
13/07,11,10
14/07,10,12
15/07,9,11
16/07,13,10
17/07,12,14
18/07,15,13
19/07,16,16
20/07,18,17
21/07,19,20
22/07,23,20
23/07,26,25
24/07,29,27
25/07,27,31
26/07,29,29
27/07,33,31
28/07,40,35
29/07,44,42
30/07,54,47
31/07,49,57
01/08,46,52
02/08,42,48
03/08,41,44
04/08,35,43
05/08,42,37
06/08,48,44
07/08,48,51
08/08,60,51
09/08,63,63
10/08,83,66
11/08,88,88
12/08,139,92
13/08,155,146
14/08,197,163
15/08,223,207
16/08,254,235
17/08,317,267
18/08,340,333
19/08,412,358
20/08,406,433
21/08,374,426
22/08,271,393
23/08,277,284
24/08,220,291
25/08,200,231
26/08,267,210
27/08,299,279
28/08,267,313
29/08,,327
30/08,,342
31/08,,357
01/09,,373
02/09,,389
03/09,,406
04/09,,423
05/09,,440
06/09,,458
07/09,,477
08/09,,496
09/09,,515
10/09,,535
11/09,,555
12/09,,576
