Date,Real,Predict
29/06,8,8
30/06,8,8
01/07,13,13
02/07,14,14
03/07,16,16
04/07,20,20
05/07,28,28
06/07,29,29
07/07,30,30
08/07,30,30
09/07,30,181
10/07,30,182
11/07,48,182
12/07,54,242
13/07,56,262
14/07,57,266
15/07,117,269
16/07,118,327
17/07,121,331
18/07,126,339
19/07,132,354
20/07,145,369
21/07,149,390
22/07,193,395
23/07,236,444
24/07,282,485
25/07,392,532
26/07,398,641
27/07,459,648
28/07,475,721
29/07,677,734
30/07,711,911
31/07,746,941
01/08,782,972
02/08,853,1003
03/08,917,1066
04/08,1050,1124
05/08,1100,1239
06/08,1196,1283
07/08,1241,1370
08/08,1313,1409
09/08,1393,1473
10/08,1505,1549
11/08,1623,1648
12/08,1797,1757
13/08,1828,1922
14/08,2007,1951
15/08,2011,2107
16/08,2167,2111
17/08,2233,2246
18/08,2353,2305
19/08,2360,2416
20/08,2365,2423
21/08,2581,2427
22/08,2664,2626
23/08,2671,2711
24/08,2778,2719
25/08,2854,2827
26/08,2911,2904
27/08,2979,2959
28/08,3037,3029
29/08,3107,3028
30/08,3200,2992
31/08,3259,2930
01/09,3283,2852
02/09,3306,2764
03/09,,2672
04/09,,2577
05/09,,2484
06/09,,2394
07/09,,2308
08/09,,2228
09/09,,2152
10/09,,2082
11/09,,2018
12/09,,1959
