Date,Real,Predict
29/06,70,70
30/06,87,87
01/07,40,40
02/07,24,24
03/07,21,21
04/07,18,18
05/07,1,1
06/07,20,20
07/07,24,24
08/07,25,25
09/07,25,43
10/07,30,43
11/07,11,51
12/07,7,19
13/07,8,13
14/07,9,14
15/07,5,15
16/07,7,8
17/07,5,11
18/07,5,9
19/07,5,8
20/07,7,9
21/07,7,12
22/07,8,12
23/07,8,13
24/07,7,12
25/07,10,10
26/07,8,16
27/07,7,13
28/07,8,12
29/07,9,12
30/07,17,14
31/07,17,25
01/08,19,25
02/08,19,28
03/08,18,28
04/08,5,26
05/08,9,7
06/08,8,14
07/08,26,12
08/08,27,38
09/08,55,40
10/08,51,80
11/08,59,75
12/08,49,86
13/08,60,71
14/08,34,87
15/08,34,50
16/08,41,50
17/08,50,60
18/08,38,74
19/08,51,55
20/08,58,73
21/08,52,84
22/08,60,75
23/08,65,87
24/08,56,94
25/08,50,80
26/08,45,72
27/08,26,65
28/08,22,37
29/08,,52
30/08,,74
31/08,,105
01/09,,149
02/09,,211
03/09,,299
04/09,,424
05/09,,601
06/09,,850
07/09,,1202
08/09,,1698
09/09,,2391
10/09,,3358
11/09,,4692
12/09,,6510
