Date,Real,Predict
29/06,641,641
30/06,650,650
01/07,244,244
02/07,88,88
03/07,14,14
04/07,15,15
05/07,91,91
06/07,4,4
07/07,15,15
08/07,4,4
09/07,3,60
10/07,2,24
11/07,333,11
12/07,111,332
13/07,17,115
14/07,17,37
15/07,111,37
16/07,23,113
17/07,40,44
18/07,81,60
19/07,76,74
20/07,83,118
21/07,14,95
22/07,124,32
23/07,76,153
24/07,99,54
25/07,224,118
26/07,16,196
27/07,205,0
28/07,14,208
29/07,239,7
30/07,44,238
31/07,46,115
01/08,41,61
02/08,94,29
03/08,85,71
04/08,156,57
05/08,63,146
06/08,134,55
07/08,53,125
08/08,97,47
09/08,144,81
10/08,147,136
11/08,192,135
12/08,306,178
13/08,50,289
14/08,219,52
15/08,9,205
16/08,190,14
17/08,91,187
18/08,194,91
19/08,11,185
20/08,7,23
21/08,344,4
22/08,199,334
23/08,17,194
24/08,239,18
25/08,174,223
26/08,105,180
27/08,162,119
28/08,99,182
29/08,202,157
30/08,334,136
31/08,160,112
01/09,45,85
02/09,44,70
03/09,,62
04/09,,57
05/09,,48
06/09,,41
07/09,,33
08/09,,28
09/09,,24
10/09,,21
11/09,,18
12/09,,15
