Date,Real,Predict
29/06,1,1
30/06,1,1
01/07,1,1
02/07,1,1
03/07,1,1
04/07,1,1
05/07,2,2
06/07,2,2
07/07,2,2
08/07,2,2
09/07,2,3
10/07,2,3
11/07,4,3
12/07,5,5
13/07,5,6
14/07,5,6
15/07,6,6
16/07,6,7
17/07,6,7
18/07,7,7
19/07,7,8
20/07,8,8
21/07,8,9
22/07,9,9
23/07,10,10
24/07,11,11
25/07,15,12
26/07,15,17
27/07,17,17
28/07,17,19
29/07,23,19
30/07,24,25
31/07,25,26
01/08,27,27
02/08,31,29
03/08,34,33
04/08,44,36
05/08,48,46
06/08,55,50
07/08,58,57
08/08,64,60
09/08,74,66
10/08,86,76
11/08,101,88
12/08,119,103
13/08,122,121
14/08,137,124
15/08,138,139
16/08,156,140
17/08,163,158
18/08,176,165
19/08,177,178
20/08,178,179
21/08,202,180
22/08,217,204
23/08,218,219
24/08,233,220
25/08,242,235
26/08,249,245
27/08,258,252
28/08,264,261
29/08,272,264
30/08,282,266
31/08,288,268
01/09,291,270
02/09,292,272
03/09,,274
04/09,,275
05/09,,277
06/09,,278
07/09,,279
08/09,,280
09/09,,281
10/09,,282
11/09,,283
12/09,,284
